Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
The HEARing CRC,"",the_hearing_crc,CRC industry_and_science federal,http://www.hearingcrc.org/,"","","The HEARing CRC is focused on the twin challenges of more effective prevention and improved remediation of hearing loss. Hearing loss affects one in six Australians, with a total financial cost estimated to be around $A23 billion per annum.
Through research and its utilisation, the HEARing CRC aims to reduce the impact of hearing loss by: maximising lifelong hearing retention; reducing loss of productivity due to hearing loss; increasing uptake and use of hearing technology; and providing postgraduate and professional and training.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
CRC for High Integrity Australian Pork,"",crc_for_high_integrity_australian_pork,CRC industry_and_science federal,http://www.porkcrc.com.au/,"","","The CRC for High Integrity Australian Pork undertakes the following research programs:
Confinement-free sow and piglet management
Herd health management
Healthy pork consumption
Carbon conscious nutrient inputs and outputs
Improving sow reproduction
Nutritional manipulations to enhance the performance and feed efficiency of growing pigs
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
Invasive Animals CRC,"",invasive_animals_crc,CRC industry_and_science federal,http://www.invasiveanimals.com/,"","","The Invasive Animals Cooperative Research Centre (IA CRC) aims to counteract the environmental, social and economic impacts of invasive animals, through the development and application of new technologies and by integration of strategic pest management approaches across agencies and jurisdictions.
Research programs focus on reducing the impacts of rabbits, wild dogs and rodent damage and impacts and rates of spread of carp and other pest fish species. IA CRC aims to increase agricultural profitability through improved integration of existing biological, conventional and newly developed control options for invasive animals and to protect biodiversity.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
CRC for Living with Autism Spectrum Disorder,"",crc_for_living_with_autism_spectrum_disorder,CRC industry_and_science federal,http://www.autismcrc.com.au/,"","","The CRC for Living with Autism Spectrum Disorders will undertake highly innovative research to directly improve the lifetime prospects of Australian individuals with ASD, provide much needed guidance, support and direction for their families, and enable medical practitioners, educators, therapists, support workers and employers to work effectively with people with ASD.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
CRC for Low Carbon Living,"",crc_for_low_carbon_living,CRC industry_and_science federal,http://www.lowcarbonlivingcrc.com.au/,"","","The aim of the CRC for Low Carbon Living is to provide government and industry with technological and policy tools to overcome identified market barriers preventing adoption of cost effective low carbon products and services, while maintaining industry competitiveness and improving quality of life.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
CRC for Mental Health,"",crc_for_mental_health,CRC industry_and_science federal,http://www.mentalhealthcrc.com/,"","","The CRC for Mental Health undertakes research to identify and validate biomarkers for the early detection and treatment of neurodegenerative disorders and psychoses. We then work with our partner end users to ensure that new techniques and approaches are integrated into medical and health care practice.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:57 +1000,2016-08-16 04:56:05 +1000,2
CRC Mining,"",crc_mining,CRC industry_and_science federal,http://www.crcmining.com.au/,"","","CRCMining’s challenge is to reduce energy consumption at all stages of mining. Mining is a significant consumer of energy, accounting for 4.7% of Australia’s primary energy, and 13.8% of CO2-equivalent emissions. CRCMining’s activities will focus on technologies associated with mining processes – in rock fragmentation, digging and transport. Automation of technologies will deliver benefits by improving the efficiency of digging and haulage and by providing improved ore grade control at the point of excavation.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
CRC for Optimising Resource Extraction,"",crc_for_optimising_resource_extraction,CRC industry_and_science federal,http://www.crcore.org.au/,"","","The CRC for Optimising Resource Extraction (CRC ORE) is facilitating a transformation of the methods used by Australia’s mining and minerals industry to evaluate and extract mineral deposits. This will include the capability to comprehensively characterise, model and evaluate the economic and environmental impact of improved mineral-extraction methods.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
Oral Health CRC,"",oral_health_crc,CRC industry_and_science federal,http://www.oralhealthcrc.org.au/,"","","The Oral Health CRC will address the substantial national economic ($A6.7 billion per annum) and social burden of oral diseases and disorders.
New areas of research will involve biomarkers of disease, the development of early diagnostics, new preventive strategies and products and oral health promotion programs, minimal intervention treatment approaches, novel dental professional products and novel reconstruction and regenerative approaches for the replacement of lost tissue and function.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
Plant Biosecurity CRC,"",plant_biosecurity_crc,CRC industry_and_science federal,http://www.pbcrc.com.au/,"","","The Plant Biosecurity CRC (PBCRC) aims to develop and deploy knowledge and tools to provide the scientific support essential for safeguarding Australia from the economic, environmental and social consequences of damaging pest incursions.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
CRC for Polymers,"",crc_for_polymers,CRC industry_and_science federal,http://www.crcp.com.au/,"","","The major challenge addressed by the CRC for Polymers is to establish Australian manufacturing as a leading provider and exporter of products that meet emerging global needs in three areas - health therapies and delivery, water and food security, and low-cost solar energy - using enabling and sustainable advanced polymer technology.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
Poultry CRC,"",poultry_crc,CRC industry_and_science federal,http://www.poultrycrc.com.au/,"","","The Poultry CRC’s major challenge is to help Australia achieve sustainable, ethical poultry production in the face of population growth and climate change.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
CRC for Rail Innovation,"",crc_for_rail_innovation,CRC industry_and_science federal,http://www.railcrc.net.au/,"","","The CRC for Rail Innovation is leading the way in research and development for the future of Australia’s railways. The CRC has managed over 100 research projects spanning across the research themes of Safety and Security; Performance; Climate Change and the Environment; Workforce Development; Smart Technology and Urban Rail Access.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
CRC for Remote Economic Participation,"",crc_for_remote_economic_participation,CRC industry_and_science federal,http://www.crc-rep.com.au/,"","","The CRC for Remote Economic Participation (CRC-REP) is a public good research centre which delivers solutions that address social and economic disadvantage in remote Australia. This challenge is proving to be intractable despite significant current investments and it involves the complex interplay of economic, environmental and societal factors.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:05 +1000,2
CRC for Sheep Industry Innovation,"",crc_for_sheep_industry_innovation,CRC industry_and_science federal,http://www.sheepcrc.org.au/,"","","The CRC for Sheep Industry Innovation was established to deliver transformational change in the sheep industry. The main challenge was to improve productivity, produce sheep that are easier to manage and improve meat quality through increasing the rate of genetic change and introduction of genomic technologies for breeding programs. The CRC’s Information Nucleus program has been a huge success in delivering on these ambitious objectives.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:06 +1000,2
Smart Services CRC,"",smart_services_crc,CRC industry_and_science federal,http://www.smartservicescrc.com.au/,"","","Smart Services CRC creates new and improved services for industry to enable customers to receive affordably and easily personalised, continuous service from businesses, irrespective of their world-wide location, and which instantly adjusts for any mobile or fixed device they use.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:06 +1000,2
CRC for Spatial Information,"",crc_for_spatial_information,CRC industry_and_science federal,http://www.crcsi.com.au/,"","","The CRC for Spatial Information aims to spatially enable Australian and New Zealand industries and communities by:
Supporting the creation of a coordinated national network of satellite system reference stations to permit real-time precise positioning of people, vehicles, built infrastructure and natural assets;
Providing underpinning research for the establishment of an Australia and New Zealand spatial information marketplace that will enable all users to access the substantial data stores in government and other sectors;
Automating the production of essential spatial information products and combining existing data stores in smarter ways with the rapidly increasing stream of data from earth observation satellites, airborne imaging platforms, and ground-based sensor systems.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:06 +1000,2
The Vision CRC,"",the_vision_crc,CRC industry_and_science federal,http://www.visioncrc.org/,"","","The Vision CRC will address the major challenges of significant vision impairment and eye health issues by solving problems related to ocular and contact lens discomfort; elimination of presbyopia and cataract through the use of biocompatible implant materials for permanent vision correction; slowing the progress of myopia; improved skills and knowledge for Aboriginal and Torres Strait Islander health workers; integrated models of vision care delivery for remote and indigenous communities, and development of an intelligent retinal camera for rapid detection of blinding eye disease.  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:58 +1000,2016-08-16 04:56:06 +1000,2
CRC for Water Sensitive Cities,"",crc_for_water_sensitive_cities,CRC industry_and_science federal,http://www.watersensitivecities.org.au/,"","","The CRC for Water Sensitive Cities brings together the inter-disciplinary research expertise and thought-leadership to undertake research that will revolutionise water management in Australia and overseas. In collaboration with over 70 research, industry and government partners, we will deliver the socio-technical urban water management solutions, and training programs, and industry engagement required to make towns and cities water sensitive.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:59 +1000,2016-08-16 04:56:06 +1000,2
Wound Management Innovation CRC,"",wound_management_innovation_crc,CRC industry_and_science federal,http://www.woundcrc.com/,"","","The Wound Management Innovation CRC will examine key challenges in improving wound healing to provide quality-of-life for people with wounds, and cost-effective wound care that lessens the burden on the health system.
The CRC will address the molecular and biological mechanisms that underlie wound healing, leading to the identification of therapeutic targets and biomarkers for creating novel diagnostic and prognostic tools and therapeutic solutions. The CRC will develop innovative tools, diagnostics and therapeutics for the next generation of advanced wound management solutions, including ‘smart dressings’ that incorporate biosensors to monitor wound healing and materials to release therapeutic compounds.
The CRC will also deliver improved wound management through the evaluation and implementation of evidence-based wound care, new preventative and treatment strategies and improved clinical care pathways.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:59 +1000,2016-08-16 04:56:06 +1000,2
Young and Well CRC,"",young_and_well_crc,CRC industry_and_science federal,http://www.yawcrc.org.au/,"","","The Young and Well CRC unites young people with researchers, practitioners, innovators and policymakers from over 75 partners. Together, we explore the role of technology in young people’s lives, and how it can be used to improve the mental health and wellbeing of young people aged 12 to 25.
The Young and Well CRC is investigating and building supportive online tools and environments to promote young people’s wellbeing and safety online; utilising technologies as facilitators of good mental health for vulnerable young people; and developing innovative services for those experiencing mental health difficulties.
Expected impacts include a reduction in youth suicide, suicide attempts and self-harm; a reduction in depression, anxiety, substance use and social isolation; and an improvement in quality of life for young people, their families and their communities.
  <i>Please note: This authority is not technically subject to FOI, but you can still make requests to it </i>",2014-04-26 18:31:59 +1000,2016-08-16 04:56:06 +1000,2
Assistant Minister for Infrastructure and Regional Development,"",assistant_minister_for_infrastructure_and_regional_development,github_316 minister infrastructure_and_regional_development 2015updates-389 federal,http://www.minister.infrastructure.gov.au/jb/index.aspx,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:36 +1100,2016-08-16 04:56:06 +1000,3
Assistant Minister for Social Services,"",assistant_minister_for_social_services,2015updates-389 federal minister github_316,http://mitchfifield.dss.gov.au,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:36 +1100,2016-08-16 04:56:06 +1000,2
Australian Grape and Wine Authority,Wine Australia,wine_australia,agriculture 2015updates-389 federal,http://wineaustralia.com,http://wineaustralia.com/en/About%20Us/~/media/0000Industry%20Site/Documents/About%20Us/Information%20Publication%20Scheme.ashx,http://wineaustralia.com/en/About%20Us/freedom-of-information-disclosure-log-and-information-publication-scheme.aspx,"The Australian Grape and Wine Authority (AGWA) is the single Australian Government statutory service body for the Australian grape and wine community. We commenced on 1 July 2014 under the Act, which merged the RD&E activities of the Grape and Wine Research and Development Corporation and the market development and regulatory activities of Wine Australia Corporation in one body. We conduct many of our activities under our trading name Wine Australia. This is our long-established brand for our market development activities, and our sector stakeholders have strongly supported the use of ‘Wine Australia’.",2015-02-01 18:31:36 +1100,2016-12-23 20:40:33 +1100,5
Office of Township Leasing,"",office_of_township_leasing,2015updates-389 federal,http://www.otl.gov.au/site/,"","","The Office of the Executive Director was established by the Aboriginal Land Rights (Northern Territory) Amendment (Township Leasing) Act 2007 and came into effect on 1 July 2007. Under the Act the Executive Director is a statutory office holder and is appointed by the Governor-General for a period not exceeding five years.
The functions of the Executive Director are to:
enter into Township Leases on behalf of the Commonwealth
administer Township Leases, including administering subleases, and
manage other rights and interests derived from Township Leases.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:06 +1000,2
Gene Technology Ministerial Council,"",gene_technology_ministerial_council,2015updates-389 federal,http://www.health.gov.au,"","","",2015-02-01 18:31:37 +1100,2016-08-16 04:56:06 +1000,2
Minister Assisting the Prime Minister for the Public Service,"",minister_assisting_the_prime_minister_for_the_public_service,2015updates-389 federal minister,http://www.apsc.gov.au/about-the-apsc/our-minister,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2017-12-02 04:55:58 +1100,2
Minister Assisting the Prime Minister for Women,"",minister_assisting_the_prime_minister_for_women,2015updates-389 federal minister,http://minister.women.gov.au,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:06 +1000,2
Office of the Independent National Security Legislation Monitor,"",office_of_the_independent_national_security_legislation_monitor,2015updates-389 federal,http://www.pmc.gov.au,"","","",2015-02-01 18:31:37 +1100,2016-08-16 04:56:06 +1000,2
Parliamentary Secretary to the Minister for Communications,"",parliamentary_secretary_to_the_minister_for_communications,2015updates-389 federal minister,http://www.minister.communications.gov.au/paul_fletcher,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:06 +1000,2
Parliamentary Secretary to the Minister for Education,"",parliamentary_secretary_to_the_minister_for_education,2015updates-389 education_and_training federal minister,http://ministers.education.gov.au/ryan,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Parliamentary Secretary to the Minister for Finance,"",parliamentary_secretary_to_the_minister_for_finance,2015updates-389 federal finance minister,http://parlsecfinance.gov.au,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Parliamentary Secretary to the Minister for Industry,"",parliamentary_secretary_to_the_minister_for_industry,2015updates-389 federal industry_and_science minister,http://minister.industry.gov.au/ministers/baldwin,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Parliamentary Secretary to the Minister for the Environment,"",parliamentary_secretary_to_the_minister_for_the_environment,2015updates-389 federal environment minister,http://www.environment.gov.au/minister/,"","","Requests for personal documents, documents of a party political nature, or documents held in the minister’s capacity as a local member of parliament are likely to be refused. See the <a href=""http://www.oaic.gov.au/publications/guidelines/Part2_Scope_of_application_of_FOI_Act.html#_Toc280686923"">Information Commissioner guidelines for more details</a>. Also, it might be easier and more direct to go to the minister's agency instead.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Road Safety Remuneration Tribunal,"",road_safety_remuneration_tribunal,2015updates-389 federal,http://www.rsrt.gov.au,http://www.rsrt.gov.au/index.cfm/legal/ips/,"",The Road Safety Remuneration Tribunal (RSRT) is an independent national tribunal that has functions relating to the road transport industry.,2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Royal Australian Air Force Welfare Trust Fund,"",royal_australian_air_force_welfare_trust_fund,2015updates-389 federal,http://www.raafholidays.com.au/,"","","The Royal Australian Air Force Welfare Trust Fund is part of the Defence portfolio, and functions in an executive management capacity.",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Skills Australia Board,"",skills_australia_board,2015updates-389 federal employment,http://www.innovation.gov.au,"","","",2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
Workplace Gender Equality Agency,"",workplace_gender_equality_agency,2015updates-389 federal employment,https://www.wgea.gov.au,https://www.wgea.gov.au/ips,"","The Workplace Gender Equality Agency is an Australian Government statutory agency created by the Workplace Gender Equality Act 2012.
The Agency is charged with promoting and improving gender equality in Australian workplaces.",2015-02-01 18:31:37 +1100,2016-11-07 14:08:29 +1100,2
Wreck Bay Aboriginal Community Council,"",wreck_bay_aboriginal_community_council,2015updates-389 federal,http://www.wbacc.gov.au/,"","",WBACC administers the ownership and management of the land and waters within the Jervis Bay Territory and represents community interests. Established by the Aboriginal Land Grant (Jervis Bay Territory) Act 1986 to hold title to land and provide council services to the Aboriginal community of Jervis Bay.,2015-02-01 18:31:37 +1100,2016-08-16 04:56:07 +1000,2
National Measurement Institute,NMI,nmi,industry_and_science oaic_report_2011_2012 directory_gov_au minister foi_yes federal,http://www.measurement.gov.au/,http://www.measurement.gov.au/Pages/InformationPublicationScheme.aspx,http://www.industry.gov.au/AboutUs/InformationPublicationScheme/Pages/FreedomofInformationDisclosureLog.aspx,"NMI is the peak Australian measurement body responsible for biological, chemical, legal, physical and trade measurement.",2015-02-08 13:01:42 +1100,2016-11-10 09:52:46 +1100,2
Capital Metro Agency,"",capital_metro_agency,ACT_state ACT,http://www.capitalmetro.act.gov.au/,"","","The Capital Metro Agency has responsibility for the design, procurement and delivery of a light rail service between Gungahlin and the City.",2015-03-09 16:38:43 +1100,2016-08-16 04:56:07 +1000,1
"ACT Chief Minister, Treasury And Economic Development Directorate",ACT-CMTEDD,act_cmtedd,ACT_state ACT police,http://www.cmd.act.gov.au,"","","CMTEDD leads the ACT Public Service (ACTPS) and provides strategic advice and support to the Chief Minister, Treasurer, Minister for Economic Development and the Cabinet on policy, financial and economic matters, service delivery and whole of government issues.",2015-03-09 16:38:44 +1100,2017-02-27 14:57:36 +1100,3
ACT Community Services Directorate,ACT-CSD,act_csd,ACT ACT_state police,http://www.act.gov.au,"","","The Community Services Directorate has the responsibility for a wide range of human services functions in the ACT, including multicultural and community affairs, public and community housing services and policy, children, youth and family support services and policy, disability policy and services, therapy services, Child and Family Centres, the ACT Government Concessions Program, homelessness and community services.",2015-03-09 16:38:44 +1100,2016-10-21 18:20:02 +1100,2
ACT Economic Development Directorate,ACT-EDD,act_edd,ACT ACT_state police,http://www.economicdevelopment.act.gov.au/,"","",The Economic Development Directorate facilitates the Territory's economic prosperity in line with the Government's commitment to sustainable development.,2015-03-09 16:38:44 +1100,2016-09-22 14:30:28 +1000,2
ACT Education And Training Directorate,ACT-ETD,act_etd,ACT ACT_state police,http://www.det.act.gov.au,"","","The Directorate identifies education and training priorities and the development of strategies, policies and planning for improved learning outcomes through government schools. The Directorate registers non government schools; and administers vocational education and training in the ACT.",2015-03-09 16:38:44 +1100,2016-11-01 17:19:47 +1100,2
ACT Environment And Planning Directorate,ACT-EPD,act_epd,ACT_state ACT police,http://www.act.gov.au,"","","The Environment and Planning Directorate promotes sustainable living and resource use, strengthens the Territory‚Äôs response to climate change, and provides a planning and land use system that contributes to the sustainable development of the ACT.<br><br>The Directorate‚Äôs aim is to lead the Territory in developing and implementing targeted policies and programs that address environment protection and sustainability, nature conservation, heritage, water and energy security, sustainable urban design, and sustainable transport and spatial planning.",2015-03-09 16:38:44 +1100,2018-05-14 14:55:05 +1000,3
ACT Health Directorate,ACT-HD,act_hd,ACT_state ACT police,http://www.health.act.gov.au,"","","In collaboration with all stakeholders, the Directorate establishes direction through the identification of priorities, and the development of strategies, policies and planning for improved health outcomes.",2015-03-09 16:38:44 +1100,2017-07-01 02:24:34 +1000,3
ACT Justice And Community Safety Directorate,ACT-JACS,act_jacs,ACT ACT_state police,http://www.act.gov.au,"","","The ACT Justice and Community Safety Directorate comprises several agencies and is responsible for a wide range of activities and services in the areas of justice, the law, emergencies, commercial practices and government elections.",2015-03-09 16:38:44 +1100,2016-10-21 18:13:16 +1100,2
ACT Territory And Municipal Services Directorate,ACT-TAMS,act_tams,ACT ACT_state police,http://www.tams.act.gov.au,"","","The Territory and Municipal Services Directorate (TAMS) delivers a wide range of services including collecting recycling and rubbish, running public libraries and ensuring municipal infrastructure such as streetlights and public barbeques are in good working order.",2015-03-09 16:38:44 +1100,2016-09-22 14:30:29 +1000,2
ACT Legislative Assembly,"",act_legislative_assembly,ACT ACT_state police,http://www.parliament.act.gov.au/,"",http://www.parliament.act.gov.au/Publications/freedom-of-information,"",2015-03-09 16:38:44 +1100,2016-08-16 04:56:08 +1000,1
Canberra Institute Of Technology,CIT,cit,ACT_state ACT,http://cit.edu.au,"","",Canberra Institute of Technology (CIT) is the ACT and region's leading training organisation providing career opportunities and partnering with industry and individuals to develop a skilled community.,2015-03-09 16:38:44 +1100,2016-08-16 04:56:08 +1000,1
ACT Aboriginal Justice Centre,"",act_aboriginal_justice_centre,ACT ACT_state police,http://www.actajc.org.au,"","","",2015-03-09 16:38:44 +1100,2016-09-22 14:30:28 +1000,2
ACT Audit Office,"",act_audit_office,ACT ACT_state police,http://www.audit.act.gov.au,"","",The Office of the Auditor-General is responsible for undertaking independent audits of management performance and the financial statements of public sector bodies.,2015-03-09 16:38:44 +1100,2016-08-16 04:56:08 +1000,1
ACT Building And Construction Industry Training Fund Authority,"",act_building_and_construction_industry_training_fund_authority,ACT ACT_state police,http://www.trainingfund.com.au,"","",The ACT Building and  Construction Industry Training Fund Authority provides training grants to industry workers to improve existing skills and to develop new skills.,2015-03-09 16:38:44 +1100,2016-08-16 04:56:08 +1000,1
ACT Electoral Commission,"",act_electoral_commission,ACT ACT_state police,http://www.elections.act.gov.au,"","",The ACT Electoral Commission is an independent Statutory Authority with the responsibility for the conduct of Elections and Referendums for the ACT Legislative Assembly and for the provision of electoral advice to a wide range of clients.,2015-03-09 16:38:45 +1100,2016-08-16 04:56:08 +1000,1
ACT Long Service Leave Authority,"",act_long_service_leave_authority,ACT ACT_state police,http://www.actleave.act.gov.au,"","","The ACT Long Service Leave Authority administers portable long service leave schemes for the construction, cleaning and community sector industries under ACT Government legislation.",2015-03-09 16:38:45 +1100,2016-08-16 04:56:08 +1000,1
ACT Teacher Quality Institute,"",act_teacher_quality_institute,ACT ACT_state police,http://www.tqi.act.edu.au,"","",The ACT Teacher Quality Institute (TQI) was established by the ACT Government under the 'ACT Teacher Quality Institute Act 2010' to raise the standing of the teaching profession in the ACT and to strengthen the quality and sustainability of the teaching workforce.,2015-03-09 16:38:45 +1100,2016-08-16 04:56:08 +1000,1
ACTEW Corporation Limited,"",actew_corporation_limited,ACT ACT_state police,http://www.actew.com.au,"","","ACTEW Corporation Limited (ACTEW) is a government owned company with assets and investments in water, wastewater, electricity, gas and telecommunications totalling $1.4b.<br><br>ACTEW owns the water and wastewater assets and business in the ACT, is a 50% owner, with Singapore Power International and AGL Energy Limited, of ActewAGL and holds an 18% investment in TransACT Communications Pty Limited.<br><br>ACTEW was corporatised on 1 July 1995 and has reporting and compliance obligations under the Corporations Act 2001 and other legislation. It has three wholly owned subsidiary companies:<br><br>ACTEW Distribution Limited <br>ACTEW Retail Limited <br>ACTEW China Pty Limited <br>ACTEW Distribution and ACTEW Retail are ACTEW partnership companies in the ActewAGL Distribution and Retail partnerships. ACTEW Distribution Limited is also a joint owner of Ecowise Environmental Pty Limited, Australia largest single provider of integrated environmental analytical, monitoring and consulting services. ACTEW China holds business investments in the Peoples Republic of China.<br><br>The Company has two voting shareholders, the Chief Minister and Deputy Chief Minister of the ACT.<br>",2015-03-09 16:38:45 +1100,2016-08-16 04:56:08 +1000,1
ACTEWAGL,"",actewagl,ACT ACT_state police,http://www.actewagl.com.au,"","","ActewAGL formed in October 2000 when the Australian Gas Light Company (AGL), a major private sector group, and ACTEW Corporation, a government-owned enterprise, entered into Australia's first utility joint venture. Ownership of ActewAGL is shared equally between AGL and ACTEW Corporation.",2015-03-09 16:38:45 +1100,2017-06-27 19:57:20 +1000,1
ACTTAB,"",acttab,ACT ACT_state police,http://www.acttab.com.au,"","","",2015-03-09 16:38:45 +1100,2016-08-16 04:56:08 +1000,1
ACT Cultural Facilities Corporation,"",act_cultural_facilities_corporation,ACT ACT_state police,http://www.museumsandgalleries.act.gov.au/cmag/,"","","The Cultural Facilities Corporation is an ACT Government statutory authority established under the Cultural Facilities Corporation ACT (1997), to manage significant cultural venues in Canberra:",2015-03-09 16:38:45 +1100,2016-09-22 14:30:28 +1000,2
ACT Exhibition Park Corporation,ACT-EPC,act_epc,ACT ACT_state police,http://www.epic.act.gov.au,"","","Welcome to Exhibition Park In Canberra (EPIC) - the National Capital's premier multi-purpose events complex.<br><br>The ambient country setting, versatility and personalised service set the venue apart from any other.<br><br>EPIC is located just 8 minutes north of the city centre and its geographic proximity to Sydney and Melbourne make it easily accessible for interstate travellers. Canberra Airport is only a 15 minute drive away and public transport services operate to and from the venue's main entrance.<br>",2015-03-09 16:38:45 +1100,2016-09-22 14:30:28 +1000,2
ACT Independent Competition And Regulatory Commission,"",act_independent_competition_and_regulatory_commission,ACT ACT_state police,http://www.icrc.act.gov.au,"","","",2015-03-09 16:38:45 +1100,2016-09-22 14:30:28 +1000,2
ACT Regional Development Australia,"",act_regional_development_australia,ACT_state ACT police,http://www.rdaact.org.au,"","","Regional Development Australia is a national network of committees fostering regional economic development. There are 55 RDA Committees which work with all three tiers of government, regional business and the wider community to boost the economic capability and performance of their region.",2015-03-09 16:38:45 +1100,2016-09-22 14:30:29 +1000,3
